Date,Series,Value
2021-03-21,Average Tone,-3.3745
2021-03-22,Average Tone,-2.9685
2021-03-23,Average Tone,-2.9087
2021-03-24,Average Tone,-3.452
2021-03-25,Average Tone,-2.8872
2021-03-26,Average Tone,-2.9232
2021-03-27,Average Tone,-2.9053
2021-03-28,Average Tone,-3.4285
2021-03-29,Average Tone,-3.0745
2021-03-30,Average Tone,-2.8455
2021-03-31,Average Tone,-2.9869
2021-04-01,Average Tone,-3.3048
2021-04-02,Average Tone,-3.5486
2021-04-03,Average Tone,-2.9042
2021-04-04,Average Tone,-2.138
2021-04-05,Average Tone,-2.9981
2021-04-06,Average Tone,-2.2307
2021-04-07,Average Tone,-3.3625
2021-04-08,Average Tone,-3.5037
2021-04-09,Average Tone,-2.3327
2021-04-10,Average Tone,-2.729
2021-04-11,Average Tone,-1.9391
